#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Somebody to Love","Jefferson Airplane",67,132,"rock psihedelic, acid rock","Surrealistic Pillow",1967-00-00,02:54,50,58,41,0,65,0,30,-9,E Major,4,2023-02-14,4uGIJG1jYFonGc4LGp5uQL,"undefined",12B,USRC10301008
2,"This Is The Life","Amy Macdonald",72,95,"","This Is The Life (eDeluxe)",2007-01-01,03:04,63,88,26,0,85,0,0,-5,C♯/D♭ Minor,4,2022-11-30,2T3jgoAMbBXiMMD8pSc6QL,"undefined",12A,GBUM70607840
3,"Back To Black","Amy Winehouse",68,123,"","Back To Black",2006-10-27,04:00,49,73,12,0,34,0,10,-3,A#/B♭ Major,4,2022-11-30,30FURVTCpbKyykjSEQzGkH,"undefined",6B,GBUM70604698
4,"The Lady In Red","Chris de Burgh",14,77,"soft rock","Into The Light",1986-01-01,04:16,55,29,33,0,49,0,0,-17,A#/B♭ Major,4,2022-11-30,1GeNWyZtCHbcp3ZWp8GTOO,"undefined",6B,GBAAM8600001
5,"Dancing With A Stranger (with Normani)","Sam Smith,Normani",68,103,"soft pop, ","Dancing With A Stranger (with Normani)",2019-01-11,02:51,74,52,45,0,35,0,20,-8,G#/A♭ Major,4,2023-01-04,6Qs4SXO9dwPj5GKvVOv8Ki,"undefined",4B,GBUM71807386
6,"Bongo Bong","Manu Chao",66,150,"muzică alternativă latină","Clandestino",1998-10-06,02:38,76,55,94,0,96,0,10,-10,A Minor,4,2023-02-17,00SmB7n85SKROGjybsyq5i,"undefined",8A,FRZ189800013
7,"What Is Love - 7  Mix","Haddaway",8,124,"eurodance","What Is Love (Remixes)",1993-03-22,04:30,68,77,2,1,74,0,20,-8,G Minor,4,2023-02-14,2ahnofp2LbBWDXcJbMaSTu,"undefined",6A,DEA410500401
8,"Total Eclipse of the Heart","Bonnie Tyler",76,130,"","The Very Best of Bonnie Tyler",2009-03-26,04:27,43,72,14,0,19,0,30,-6,G#/A♭ Major,4,2023-02-14,7wuJGgpTNzbUyn26IOY6rj,"undefined",4B,GBBBN8300002
9,"Bitter Sweet Symphony - Remastered 2016","The Verve",77,171,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,05:57,36,92,3,0,52,0,40,-6,A Major,4,2022-11-30,57iDDD9N9tTWe75x6qhStw,"undefined",11B,GBUM71601816
10,"Little Talks","Of Monsters and Men",75,103,"pop folk, indie folk","My Head Is An Animal",2012-01-01,04:26,46,76,2,0,42,0,10,-5,C♯/D♭ Major,4,2022-11-30,2ihCaVdNZmnHZWt0fvAM7B,"undefined",3B,USUM71119106
